จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
หนองคาย,Nong Khai,2563,N/A,N/A,15.46,24.39,24.39,19.84,38.69,1.61,19.84,38.69,N/A,5.39,1.61,1.61,N/A,10.7,N/A,9.09,N/A,7.45,N/A,8.17
มหาสารคาม,Maha Sarakham,2563,N/A,N/A,17.57,26.26,26.26,22.52,33.42,0.23,22.52,33.42,N/A,5.04,0.23,0.23,N/A,11.15,N/A,9.66,N/A,8.12,N/A,8.44
ร้อยเอ็ด,Roi Et,2563,N/A,N/A,13.81,26.44,26.44,18.48,40.57,0.7,18.48,40.57,N/A,4.98,0.7,0.7,N/A,10.55,N/A,9.1,N/A,7.84,N/A,7.88
กาฬสินธุ์,Kalasin,2563,N/A,N/A,12.08,23.83,23.83,20.1,43.18,0.82,20.1,43.18,N/A,4.74,0.82,0.82,N/A,10.47,N/A,8.83,N/A,7.31,N/A,7.75
สกลนคร,Sakon Nakhon,2563,N/A,N/A,11.84,19.55,19.55,20.6,46.69,1.31,20.6,46.69,N/A,4.75,1.31,1.31,N/A,9.9,N/A,8.49,N/A,6.92,N/A,7.62
นครพนม,Nakhon Phanom,2563,N/A,N/A,18.75,22.58,22.58,18.91,37.81,1.95,18.91,37.81,N/A,5.22,1.95,1.95,N/A,10.75,N/A,9.35,N/A,7.88,N/A,8.3
มุกดาหาร,Mukdahan,2563,N/A,N/A,14.72,22.69,22.69,22.84,38.47,1.29,22.84,38.47,N/A,4.68,1.29,1.29,N/A,10.49,N/A,9.04,N/A,7.42,N/A,8.01
เชียงใหม่,Chiang Mai,2563,N/A,N/A,25.47,18.5,18.5,18.38,25.57,12.09,18.38,25.57,N/A,4.88,12.09,12.09,N/A,10.26,N/A,9.13,N/A,7.66,N/A,8.12
ลำพูน,Lamphun,2563,N/A,N/A,22.95,27.28,27.28,16.63,27.3,5.84,16.63,27.3,N/A,4.88,5.84,5.84,N/A,11.14,N/A,9.74,N/A,8.13,N/A,8.45
ลำปาง,Lampang,2563,N/A,N/A,23.98,22.27,22.27,16.76,33.72,3.26,16.76,33.72,N/A,4.65,3.26,3.26,N/A,11.54,N/A,9.56,N/A,7.97,N/A,8.02
อุตรดิตถ์,Uttaradit,2563,N/A,N/A,22.69,25.36,25.36,16.42,33.82,1.71,16.42,33.82,N/A,5.23,1.71,1.71,N/A,11.28,N/A,9.78,N/A,8.41,N/A,8.3
