จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
เชียงใหม่,Chiang Mai,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ลำพูน,Lamphun,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ลำปาง,Lampang,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุตรดิตถ์,Uttaradit,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
แพร่,Phrae,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
น่าน,Nan,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พะเยา,Phayao,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เชียงราย,Chiang Rai,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
แม่ฮ่องสอน,Mae Hong Son,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครสวรรค์,Nakhon Sawan,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุทัยธานี,Uthai Thani,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กำแพงเพชร,Kamphaeng Phet,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ตาก,Tak,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุโขทัย,Sukhothai,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พิษณุโลก,Phitsanulok,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พิจิตร,Phichit,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เพชรบูรณ์,Phetchabun,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ราชบุรี,Ratchaburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กาญจนบุรี,Kanchanaburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุพรรณบุรี,Suphanburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครปฐม,Nakhon Pathom,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สมุทรสาคร,Samut Sakhon,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สมุทรสงคราม,Samut Songkhram,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เพชรบุรี,Phetchaburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครศรีธรรมราช,Nakhon Si Thammarat,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กระบี่,Krabi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พังงา,Phang Nga,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ภูเก็ต,Phuket,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุราษฎร์ธานี,Surat Thani,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ระนอง,Ranong,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชุมพร,Chumphon,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สงขลา,Songkhla,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สตูล,Satun,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ตรัง,Trang,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พัทลุง,Phatthalung,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ปัตตานี,Pattani,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ยะลา,Yala,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นราธิวาส,Narathiwat,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ประเทศไทย,Thailand,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,Bangkok,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สมุทรปราการ,Samut Prakan,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นนทบุรี,Nonthaburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ปทุมธานี,Pathum Thani,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อ่างทอง,Ang Thong,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ลพบุรี,Lopburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สิงห์บุรี,Singburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชัยนาท,Chainat,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สระบุรี,Saraburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชลบุรี,Chonburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ระยอง,Rayong,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
จันทบุรี,Chanthaburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ตราด,Trat,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ฉะเชิงเทรา,Chachoengsao,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ปราจีนบุรี,Prachinburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครนายก,Nakhon Nayok,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สระแก้ว,Sa Kaeo,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครราชสีมา,Nakhon Ratchasima,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
บุรีรัมย์,Buriram,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุรินทร์,Surin,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ศรีสะเกษ,Si Sa Ket,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,Ubon Ratchathani,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ยโสธร,Yasothon,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชัยภูมิ,Chaiyaphum,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อำนาจเจริญ,Amnat Charoen,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
บึงกาฬ,Bueng Kan,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
หนองบัวลำภู,Nong Bua Lamphu,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ขอนแก่น,Khon Kaen,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุดรธานี,Udon Thani,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เลย,Loei,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
หนองคาย,Nong Khai,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
มหาสารคาม,Maha Sarakham,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ร้อยเอ็ด,Roi Et,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กาฬสินธุ์,Kalasin,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สกลนคร,Sakon Nakhon,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครพนม,Nakhon Phanom,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
มุกดาหาร,Mukdahan,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เชียงใหม่,Chiang Mai,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ลำพูน,Lamphun,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ลำปาง,Lampang,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุตรดิตถ์,Uttaradit,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
แพร่,Phrae,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
น่าน,Nan,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พะเยา,Phayao,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เชียงราย,Chiang Rai,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
แม่ฮ่องสอน,Mae Hong Son,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครสวรรค์,Nakhon Sawan,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
อุทัยธานี,Uthai Thani,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กำแพงเพชร,Kamphaeng Phet,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ตาก,Tak,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุโขทัย,Sukhothai,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พิษณุโลก,Phitsanulok,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พิจิตร,Phichit,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เพชรบูรณ์,Phetchabun,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ราชบุรี,Ratchaburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กาญจนบุรี,Kanchanaburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุพรรณบุรี,Suphanburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครปฐม,Nakhon Pathom,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สมุทรสาคร,Samut Sakhon,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สมุทรสงคราม,Samut Songkhram,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
เพชรบุรี,Phetchaburi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นครศรีธรรมราช,Nakhon Si Thammarat,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
กระบี่,Krabi,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พังงา,Phang Nga,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ภูเก็ต,Phuket,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สุราษฎร์ธานี,Surat Thani,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ระนอง,Ranong,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ชุมพร,Chumphon,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สงขลา,Songkhla,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สตูล,Satun,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ตรัง,Trang,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
พัทลุง,Phatthalung,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ปัตตานี,Pattani,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ยะลา,Yala,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นราธิวาส,Narathiwat,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ประเทศไทย,Thailand,2561,N/A,N/A,,,,,,,,,,,,,,,,,,,,
